"Cluster 1","Cluster 2","Cluster 3","Cluster 4"
0.368407731008662,0.273183296370346,0.262526787716765,0.0958821849042273
0.181650062530848,0.477489604513239,0.0715506687227104,0.269309664233203
0.596707139319486,0.265662111332547,0.0815919012530408,0.0560388480949265
0.305154895803991,0.229514776324991,0.303360917530514,0.161969410340504
0.258854074386615,0.511679961769905,0.1178760474582,0.11158991638528
0.22104932218918,0.62266262502161,0.0801877870855262,0.0761002657036833
0.267213742293265,0.239731165786948,0.248749737183818,0.244305354735969
0.17902296182858,0.0895137067868368,0.689682379348969,0.041780952035614
0.224500022702096,0.573956472231993,0.0802787747998055,0.121264730266106
0.305616859774987,0.235485257113633,0.370187649191021,0.0887102339203589
0.275271126963719,0.304764193807205,0.12633899484052,0.293625684388556
0.265402210295157,0.519143042781099,0.0654341886468635,0.15002055827688
0.131207192206426,0.220607891558815,0.0678716057425845,0.580313310492174
0.220527098200534,0.30427277560451,0.119132419096397,0.35606770709856
0.554204865440904,0.205356506476709,0.186347729735159,0.0540908983472286
0.31298079012104,0.172214596596302,0.447062833294532,0.0677417799881259
0.471095702520034,0.177552806624125,0.300242562828432,0.0511089280274089
0.300624529277681,0.14249553429346,0.477829420390007,0.0790505160388517
0.215105325860414,0.592486727131974,0.0909519430880914,0.10145600391952
0.649697686116914,0.194913998040752,0.109686667444745,0.0457016483975888
0.0448452676676634,0.111447520552357,0.0237688527709127,0.819938359009067
0.244863782939884,0.320462559680438,0.134185682725314,0.300487974654365
0.241408874220568,0.289096475601732,0.157874112007526,0.311620538170174
0.193237757960114,0.09403735941307,0.665510948465073,0.0472139341617421
0.375117932730898,0.286179979302769,0.247935096833505,0.090766991132828
0.359316589075698,0.384554111085989,0.156738318051753,0.0993909817865591
0.155566794831976,0.242386115526659,0.105648314350615,0.496398775290751
0.179563773743823,0.376375418424405,0.0983637208092622,0.345697087022509
0.231522133081767,0.314190860129633,0.141409184302923,0.312877822485677
0.312751975379502,0.236044114823304,0.342086292671074,0.10911761712612
0.163305510172522,0.258727505760961,0.0984163943849097,0.479550589681607
0.17379109557599,0.53359487850295,0.0708174527560256,0.221796573165035
0.157760848970949,0.250343228094259,0.0870059678748114,0.504889955059981
0.157167578454319,0.297528242226391,0.0917081908478595,0.45359598847143
0.38789600076395,0.171527409720233,0.348378200517909,0.0921983889979081
0.116825664305967,0.225141890116317,0.0710210315909387,0.587011413986777
0.147026494246398,0.467721244669472,0.050236030707118,0.335016230377012
0.465616972285009,0.336999457333998,0.0990540081318162,0.0983295622491776
0.594001918006329,0.137425114349826,0.216270337151844,0.052302630492001
0.527184803194939,0.202240849276338,0.184758061311278,0.0858162862174448
0.230748983688529,0.441717173333214,0.122873158083599,0.204660684894658
0.46477440207623,0.110728905357464,0.379646702981392,0.0448499895849135
0.127239164948234,0.297892418974724,0.0597048427143024,0.515163573362739
0.279984065229026,0.0883611562703606,0.595728661602341,0.0359261168982719
0.209454169180556,0.259835111445949,0.157816736920093,0.372893982453403
0.338575424463785,0.348032388845479,0.15216148521823,0.161230701472506
0.370903929798425,0.332839133605847,0.134146177298683,0.162110759297046
0.204296702912273,0.324921793090178,0.118929182308639,0.35185232168891
0.140868223528054,0.473179680071249,0.0463239262126495,0.339628170188047
0.317044713166012,0.225039848408122,0.36608814032303,0.0918272981028366
0.171167732414059,0.0703805908606755,0.725031078840067,0.0334205978851983
0.134750328000752,0.238757448408591,0.087810496213309,0.538681727377348
0.0870431244114097,0.165992808912026,0.0507787448698895,0.696185321806674
0.171826724012525,0.0685274924482558,0.733215484513355,0.0264302990258641
0.0583890470332735,0.165304163649339,0.0288826190175591,0.747424170299828
0.272642642957354,0.478705785775199,0.0867215765704571,0.16192999469699
0.487374762542658,0.251636736759838,0.176860786830388,0.0841277138671163
0.20529389879401,0.257626226332797,0.121688765087787,0.415391109785406
0.189003475053013,0.409729100292133,0.108266421252635,0.293001003402218
0.167407776793386,0.233274533480059,0.106676148558958,0.492641541167598
0.477239714869661,0.342008971465644,0.0904443878215754,0.0903069258431205
0.108024384274992,0.562746118536927,0.0409528794957212,0.288276617692361
0.243343859023259,0.138431133806996,0.539638966175568,0.0785860409941776
0.1968819968705,0.342656302309963,0.0919806806779359,0.3684810201416
0.351702913134574,0.358384751737508,0.134409773825248,0.15550256130267
0.284443148421005,0.250624623428602,0.309056852717891,0.155875375432502
0.149655336928321,0.279831252576878,0.0939450729873331,0.476568337507469
